Avas	Aphrocallistes vastus
Oopmin	Oopsacas minuta
Clad	Cladorhizidae sp. (Schultz 2023)
Ampfan	Ampfioctopus fangsiao
Argarg	Argonauta argo
Berova	Beroe ovata
Eupsco	Euprymna scolopes
HoiH23	Cladtertia collaboinventa
Linlon	Lineus longissimus
Plebac	Pleurobrachia bachei
Aano	Aureococcus anophagefferens
Aaur	Aurelia aurita
Acagra	Acanthopleura granulata
Acas10	Acanthoecidae sp 10tr
Acas	Acanthamoeba castellanii
Acaspe	Acanthoeca spectabilis
Acoe	Aquilegia coerulea
Actieq	Actinia equina
Adig	Acropora digitifera
Adivag	Adineta vaga
Aedaeg	Aedes aegypti
Alblai	Albugo laibachii
Amac	Allomyces macrogynus
Amil	Acropora millepora
Amobb2	Amoeba sp. BB2
Ancsig	Ancyromonas sigmoides
Andgod	Andalucia godoyi
Annjap	Anneissia japonica
Anocar	Anolis carolinensis
Anogam	Anopheles gambiae
ApAF17	Apusomonadida sp. AF-17
Apar	Amoebidium parasiticum
Apimel	Apis mellifera
Apla	Acanthaster planci
Aplcal	Aplysia californica
Aplker	Aplanochytrium kerguelense
Apojap	Apostichopus japonicus
Aque	Amphimedon queenslandica
Aspory	Aspergillus oryzae
Astrub	Asterias rubens
Atha	Arabidopsis thaliana
Atri	Amborella trichopoda
Aurlim	Aurantiochytrium limacinum
Azofil	Azolla filiculoides
Bden	Batrachochytrium dendrobatidis
Bdis	Brachypodium distachyon
Beraby	Beroe abyssicola
Berfor	Beroe forskalii
Berova	Beroe ovata
Bflo	Branchiostoma floridae
Biogla	Biomphalaria glabrata
Bnat	Bigelowiella natans
Bodsal	Bodo saltans
Bolinf	Bolinopsis infundibulum
Bolmic	Bolinopsis microptera
Bommor	Bombyx mori
Botlea	Botrylloides leachii
Brabel	Branchiostoma belcheri
Bracal	Brachionus calyciflorus 
Bralan	Branchiostoma lanceolatum
Brapli	Brachionus plicatilis 
Bremin	Breviolum minutum
Brumal	Brugia malayi
Bugner	Bugula neritina
Calmil	Callorhinchus milii
Cang	Catenaria anguillulae
Carmem	Carpediemonas membranifera
Caulen	Caulerpa lentillifera
Cavfas	Cavenderia fasciculata
Ccin	Coprinopsis cinerea
Cele	Caenorhabditis elegans
Cfra	Creolimax fragrantissima
Cgig	Magallana gigas
Chabra	Chara braunii
Chem	Clytia hemisphaerica
Chocri	Chondrus crispus
Chofle	Choanoeca flexa
Choper	Choanoeca perplexa
Choren	Chondrosia reniformis
Chrper	Chromosphaera perkinsii
Chrtob	Chrysochromulina tobin
Cint	Ciona intestinalis
Clacla	Clathrina clathrus
Clacor	Clathrina coriacea
Claful	Cladosporium fulvum
Clim	Corallochytrium limacisporum
Cmer	Cyanidioschyzon merolae
Cneo	Cryptococcus neoformans
Cocsub	Coccomyxa subellipsoidea
Codhol	Codosiga hollandica
Coeast	Coeloplana astericola
Coemet	Coeloplana meteoris
Coerev	Coemansia reversa
Coka	Cladosiphon okamuranus
Concor	Conidiobolus coronatus
Corcan	Corticium candelabrum
Cowc	Capsaspora owczarzaki
Cpar	Cyanophora paradoxa
Crei	Chlamydomonas reinhardtii
Crypsp	Cryptophyceae sp.
Cscu	Centruroides sculpturatus
Ctel	Capitella teleta
Culqui	Culex quinquefasciatus
Cvar	Chlorella variabilis
Cvel	Chromera velia
Ddis	Dictyostelium discoideum
Dgig	Dendronephthya gigantea
Diagra	Diaphanoeca grandis
Dicjap	Dicyema japonicum
Didcos	Didymoeca costata
Dimgyr	Dimorphilus gyrociliatus
Diprot	Diphylleia rotans
Dmel	Drosophila melanogaster
Dpul	Daphnia pulex
Drer	Danio rerio
Drygla	Dryodora glandiformis
Dugjap	Dugesia japonica
Echduj	Echinoderes dujardinii
Ehux	Emiliania huxleyi
Eimten	Eimeria tenella
Elychl	Elysia chlorotica
Emue	Ephydatia muelleri
Emul	Echinoccocus multilocularis
Enccun	Encephalitozoon cuniculi
Erygut	Erythranthe guttata
Esil	Ectocarpus siliculosus
Euncar	Eunapius carteri
Eupdun	Euplokamis dunlapae
Eupsco	Euprymna scolopes
Exapal	Exaiptasia diaphana
Fabtro	Fabomonas tropica
Falb	Fonticula alba
Folcan	Folsomia candida
Fspp	Fungia sp.
Fusgra	Fusarium graminearum
Galgal	Gallus gallus
Gasp	Goniastrea aspera
Gefoke	Gefionella okellyi (strain 249)
Gfas	Galaxea fascicularis
Glam	Giardia lamblia
Glomor	Glossina morsitans
Gonavo	Goniomonas avonlea
Gpro	Gonapodya prolifera
Gracho	Gracilariopsis chorda
Gracom	Grantia compressa
Gthe	Guillardia theta
Halamb	Haliclona amboinensis
Halaur	Halocynthia aurantium
Harbal	Hartaetosiga balthica
Hargra	Hartaetosiga gracilis
Hduj	Hypsibius dujardini
Helnan	Helgoeca nana
Helrob	Helobdella robusta
Hemkuk	Hemimastix kukwesjijk
Hetalb	Heterostelium album
Hhon	Hoilungia hongkongensis H13
Hmia	Hofstenia miamia
HoiH04	Hoilungia sp. H4
HoiH06	Hoilungia sp. H6
HoiH11	Hoilungia sp. H11
HoiH23	Cladtertia collaboinventa
Honfer	Hondaea fermentalgiana
Horcal	Hormiphora californensis
Hsap	Homo sapiens
Hvul	Hydra vulgaris
Ihof	Ichthyophonus hoferi
Intlin	Intoshia linei
Ixosca	Ixodes scapularis
Jakbah	Jakoba bahamiensis
Jaklib	Jakoba libera
Kipbia	Kipferlia bialata
Klenit	Klebsormidium nitens
Lampan	Lampetia pancerina
Latcha	Latimeria chalumnae
Lcom	Leucosolenia complicata
Lepocu	Lepisosteus oculatus
Lepsal	Lepeophtheirus salmonis
Lepsey	Leptomonas seymouri
Leuniv	Leuconia nivea
Lgig	Lottia gigantea
Linana	Lingula anatina
Linlon	Lineus longissimus
Litglo	Lithocolla globosa
Lmaj	Leishmania major
Lpol	Limulus polyphemus
Luccup	Lucilia cuprina
Lutlon	Lutzomyia longipalpis
Lytvar	Lytechinus variegatus
Maclig	Macrostomum lignano
Malcal	Malawimonas californiana
Maljak	Malawimonas jakobiformis
Manber	Manchomonas bermudensis
Manpla	Mantamonas plastica
Marpol	Marchantia polymorpha
Masbal	Mastigamoeba balamuthi
Mbre	Monosiga brevicollis
Mcir	Mucor circinelloides
Meifij	Meiopriapulus fijiensis
Mertsp	Mertensiidae sp.
Meteor	Meteora sp.
Microa	Microstomoeca roanoka
Mlei	Mnemiopsis leidyi
Mmus	Mus musculus
Mondom	Monodelphis domestica
Morelo	Mortierella elongata
Morvir	Morbakka virulenta
Mpus	Micromonas pusilla
Musdom	Musca domestica
Mvib	Ministeria vibrans
Mylflu	Mylnosiga fluctuans
Mytcor	Mytilus coruscus
Nasvit	Nasonia vitripennis
Naupom	Nautilus pompilius
Ncra	Neurospora crassa
Nemnom	Nemopilema nomurai
Nempar	Nematocida parisii
Ngad	Nannochloropsis gaditana
Ngru	Naegleria gruberi
Notgen	Notospermus geniculatus
Nutlon	Nutomonas longa
Nvec	Nematostella vectensis
Ocar	Oscarella carmela
Octbim	Octopus bimaculoides
Octsin	Octopus sinensis
Oikdio	Oikopleura dioica
Opea	Oscarella pearsei
Orccin	Orchesella cincta
Ornana	Ornithorhynchus anatinus
Osat	Oryza sativa
Osclob	Oscarella lobularis
Otau	Ostreococcus tauri
Owefus	Owenia fusiformis
Oxytri	Oxytricha trifallax
Paratl	Parvularia atlantis
Partri	Paraphelidium tribonemae
Pavlsp	Pavlovales sp. CCMP2436
Pecmax	Pecten maximus
Penmon	Penaeus monodon
Perkma	Perkinsus marinus
Petfic	Petrosia ficiformis
Petmar	Petromyzon marinus
Pfal	Plasmodium falciparum
Phakir	Pharyngomonas kirbyi
Phatri	Phaeodactylum tricornutum
Phlpap	Phlebotomus papatasi
Phoaus	Phoronis australis
Phybla	Phycomyces blakesleeanus
Pigoch	Pigoraptor chileana
Pigovi	Pigoraptor vietnamica
Pinf	Phytophthora infestans
Pisp	Piromyces spE2
Plabra	Plasmodiophora brassicae
Plafun	Planoprotostelium fungivorum
Plajan	Plakina jani
Plamic	Planomonas micra
Plebac	Pleurobrachia bachei
Plespi	Pleraplysilla spinifera
Pocdam	Pocillopora damicornis
Polpol	Pollicipes pollicipes
Pomcan	Pomacea canaliculata  
Porpur	Porphyridium purpureum
Porumb	Porphyra umbilicalis
Ppat	Physcomitrella patens
Pricau	Priapulus caudatus
Ptet	Paramecium tetraurelia
Ptyfla	Ptychodera flava
Pyckie	Pycnophyes kielensis
Pygbif	Pygsuia biforma
Rall	Rozella allomycis
Ramvar	Ramazzottius varieornatus
Recame	Reclinomonas americana
Retfil	Reticulomyxa filosa
Rhidel	Rhizopus delemar
Rhiglo	Rhizoclosmatium globosum
Rhoesc	Rhopilema esculentum
Rhopro	Rhodnius prolixus
Rigram	Rigifila ramosa
Rirr	Rhizophagus irregularis
Romcul	Romanomermis culicivorax
Salcuc	Salvinia cucullata
Saldol	Salpingoeca dolichothecata
Salhel	Salpingoeca helianthica
Salinf	Salpingoeca infusionum
Salkve	Salpingoeca kvevrii
Salmac	Salpingoeca macrocollata
Salpun	Salpingoeca punica
Salurc	Salpingoeca urceolata
Sanmal	Sanderia malayensis
Sappar	Saprolegnia parasitica
Sarc	Sphaeroforma arctica
Savpar	Savillea parva
Sbic	Sorghum bicolor
Scer	Saccharomyces cerevisiae
